,index,transaction,title,abstract,authors,track,invited
39,39,EDTM25-000065,Recent Progress on Electronics and Optoelectronics Based on 2D Tellurium,"Tellurium (Te), an emerging p-type van der Waals (vdW) semiconductor, has attracted great attention since its rediscovery. Its unique quasi-one-dimensional (1D) crystal structure grants it high hole mobilities and tunable bandgaps, covering short wavelength infrared (SWIR) spectrum. These properties lay the foundation for its applications in advanced electronics and optoelectronics, including p-type field-effect transistors (FETs), infrared (IR) photodetectors, and memory devices. Here, we summarize the recent progress made by our group on Te-enabled devices. ","Chaoliang Tan,Jiajia Zha,Haoxin Huang",03 Advanced Semiconductor (Logic) Devices,1
40,40,EDTM25-000066,Nanodiamond quantum thermometers and their biological applications,"Fluorescent nanodiamonds (FNDs) are stable and nontoxic fluorescent probes, which are suited to chemical and biological analysis. Recently they have been intensively studied for quantum applications because their electron-spin-dependent fluorescence can provide us with a sensitive measurement tool for nanoscale information of magnetic field and temperature. Here, we report on our recent efforts for developing nanoscale thermometry using FNDs particularly for biological applications.",Masazumi Fujiwara,"10 Sensor, MEMS, Bio-Electronics",1
41,41,EDTM25-000067,Enhancing Transduction Efficiency in CMOS-MEMS CMUTs Through Atomic Layer Deposition: A Preliminary Study,"We investigate the enhancement of electrostatic transduction in CMOS-MEMS capacitive micromachined ultrasound transducers (CMUTs) by employing atomic layer deposition (ALD) to modify the transduction gaps between the bottom electrode and the membrane. In this preliminary study, the effectiveness of the ALD deposition was experimentally evaluated using high-frequency CMUT arrays centered at 5.2, 7.9, and 13 MHz that implemented using the TSMC 0.18 μm standard CMOS process. With a 50 nm layer of aluminum oxide (Al2O3) coating, a 7–15 dB improvement in peak admittance is observed from CMUT array measurements.","Tzu-Yun Huang,Ming-Huang Li","10 Sensor, MEMS, Bio-Electronics",0
42,42,EDTM25-000068,A 3.98 GHz Aluminum Nitride Overmoded Bulk Acoustic Wave Resonator for Temperature Sensing Applications,"In this work, we present a novel microelectromechanical systems (MEMS) temperature sensor based on an aluminum nitride (AlN) overmoded bulk acoustic wave resonator (OBAR). Utilizing the overmoded operation of a AlN bulk acoustic wave resonator with a thick metal electrode, a large temperature coefficient of frequency (TCF) of -105 ppm/°C is achieved, while maintaining a high quality factor (Q) of 300 and an electromechanical coupling coefficient (k_t^2) of 4.34% at 3.98 GHz. This TCF is approximately 4.5X higher than that of a regular AlN thin-film bulk acoustic wave resonator (FBAR). Furthermore, based on the dual-oscillator beat frequency sensing topology using OBAR and FBAR resonators characterized in this study, a large TCFbeat of -1,088 ppm/°C is obtained through theoretical predictions.","Zhi-Qiang Lee,Kuan-Ting Chen,Chin-Yu Chang,Cheng-Chien Lin,Yung-Hsiang Chen,Yelehanka Ramachandramurthy Pradeep,Rakesh Chand,Yenshih Ho,Ming-Huang Li","10 Sensor, MEMS, Bio-Electronics",0
43,43,EDTM25-000069,Effect of Gate Voltage Rise Time on Gate Charges for GaN HEMTs with Partially Depleted p-GaN Cap Layer,"This study explores the effect of gate voltage rise time (tr) on the gate charge (QG) and performance of p-GaN HEMT devices under different temperature conditions. Experiments and TCAD simulations reveal a positive correlation between QG and tr, with the impact weakening at higher temperatures. The incomplete ionization of magnesium acceptors in the p-GaN layer, along with the effect of tr on conduction band energy (EC) and two-dimensional electron gas (2DEG) density, are key factors. These findings provide important insights for loss analysis and the optimization of gate driving strategies for GaN transistors.","Ruize Sun,Renjie Wu,Yunfei Ma,Wenhan Yuan,Qinan Guo,Wanjun Chen,Bo Zhang",06 Wide-Bandgap Power and RF Devices,0
44,44,EDTM25-000071,Self-Rectifying Memristors with High Rectification Ratio for Security Primitives with Ultra-low bit-errors,"Self-rectifying memristors (SRMs) become vital for security primitives with high accuracy. This study introduces a Pt/HfO2/WO3-x/TiN SRM with a rectification ratio over 106, addressing sneak path currents. The SRM's conductive behavior is influenced by the WO3-x layer thickness. Traps in WO3-x suppress negative current and boost positive current. The proposed SRMs enable over 21 Gbit crossbar arrays and ultra-low bit-errors, showing great potential for ultra-large-scale integration in the field of security hardware.","Guobin Zhang,Zijian Wang,Xuemeng Fan,Dawei Gao,Yishu Zhang",04 Memory Technologies,0
45,45,EDTM25-000072,Competing ferroelectric polarization and defect migration induced resistive switching in van der Waals β’-In2Se3,"This work systematically investigates the in-plane resistive switching behavior of representative van der Waals (vdW) ferroelectric β’-In2Se3. Besides resistive switching resulting from ferroelectric polarization reversal, the critical role of Se vacancy migration is unveiled in determining the overall electrical characteristics of β’-In2Se3 devices through time-dependent current evolution, in-situ electric force microscopy (EFM) and density functional theory (DFT) calculations. By considering the interplay between switchable bound charges and mobile defects, a comprehensive physical picture of the complex hysteretic behavior of β’-In2Se3 devices is established.","Yinfeng Long,Saiyu Bu,Han Chen,Kai Liu,Shiyu Zhang,Lin WANG",01 Materials,0
46,46,EDTM25-000073,Improving the Reliability of 40nm RRAM Chip by Pre-cycle Operation,"This work proposes a practical method, pre-cycle, to enhance the comprehensive reliability of resistive random-access memory (RRAM) on a 40nm CMOS platform. Through 100 pre-cycles, RRAM can achieve endurance > 10k cycles, retention > 10 years at 85℃, and read disturbance > 109 cycles. The operational cost of pre-cycle is similar to forming, making it feasible for practical applications. This method provides new possibilities for the further integration of RRAM towards more advanced technology nodes.","Ruofei Hu,Yilong Huang,Chengxiang Ma,Qianze Zheng,Kaimeng Liu,Yuelin Jiang,Siyu Chen,Jianshi Tang,Dong Wu,Bin Gao,He Qian,Huaqiang Wu",04 Memory Technologies,0
47,47,EDTM25-000074,Investigation of Passivation Layers for Self-aligned Top-Gate Amorphous InGaZnO Thin-Film Transistors with Metal-Reacted Low-Resistance Source/Drain,"The metal reaction approach has been successfully utilized to fabricate high-performance self-aligned top-gate (SATG) oxide TFTs with low-resistance source/drain (S/D) regions. However, the stability remains a concern, as the metal-reacted S/D regions are susceptible to degradation during thermal processing. This work systematically investigated the passivation effects of PECVD SiO2, Si3N4, and sputtered Al2O3. Results indicate that the 150 °C PECVD Si3N4 passivation layer (PL) offers SATG TFTs superior stability under thermal, environmental and bias stress conditions, along with excellent scalability and well-maintained low S/D resistance, compared to other PLs.","Yuhan Zhang,Jiye Li,Hao Pen,Huan Yang,Lei Lu,Shengdong Zhang",03 Advanced Semiconductor (Logic) Devices,0
48,48,EDTM25-000075,"Enabling Highly-Efficient, Low-Latency Analog CAM Operations with Optimized MoS2 Flash Memory Devices","Emerging non-volatile memory-based analog content addressable memories promise massively parallel data search and explainable edge processing. Still, their performance improvement has been bottlenecked by silicon-based transistor performance. In response, we optimize atomic thin MoS2 flash memories with a record-high readout current (60 μA/μm) and a large current ON/OFF ratio (>109) for low-latency, low column interference, and high energy efficiency of analog CAM cells, enabled by Antimony (Sb) semimetal contact for lower contact resistance and better gate controllability. We experimentally demonstrated the range search operation with our fabricated MoS2 analog CAM array, promising the potential of atomically thin semiconductors for developing next-generation high-speed and low-power edge devices.","Guoyun Gao,Bo WEN,Ni Yang,Zhiyuan Du,Mingrui Jiang,Ruibin Mao,Yingnan Cao,Hongxia Xue,Pak San Yip,Qihan Liu,Dong-Keun Ki,Hao Jiang,Jinyao Tang,Paddy K. L. Chan,Han Wang,Lain-Jong Li,Can Li",04 Memory Technologies,0
49,49,EDTM25-000076,An Artificial Thermoresponsive Nociceptor Based on Amorphous Carbon Threshold Memristor,"In this work, an artificial thermoresponsive nociceptor (TRN) based on amorphous carbon (a-C) memristor with temperature-modulated threshold switching (TS) behavior was reported. Both the response current and relaxation time increase with elevated temperatures. The device can emulate biological TRN features including threshold, relaxation, no adaption, and sensitization. As proof of concept, reflex arc system with thermal pain conduction is constructed by integrating this artificial TRN with robot arm.","Qiaoling Tian,Xiaoning Zhao,Zhongqiang Wang,Haiyang Xu,Yichun Liu",04 Memory Technologies,0
50,50,EDTM25-000077,Single-crystal Diamond MEMS for Extreme Sensors,"Diamond has been a potential rival of Si for MEMS in terms of the outstanding mechanical, electrical, thermal and chemical properties. These extreme properties not only enable developing highly reliable MEMS devices but innovating the sensitivity, precision, and stability. Here, we show the advanced research on single-crystal diamond (SCD) MEMS achieved in our lab. These include the invention of the smart-cut technology for fabricating SCD MEMS structures, energy dissipation mechanisms, and sensing/switch applications.",Meiyong Liao,"10 Sensor, MEMS, Bio-Electronics",1
51,51,EDTM25-000078,A variability-aware data preprocessing method for data-driven memristive device inverse modeling,"Data-driven learning methods have great potential in optimizing memristive devices, yet its application in memristor inverse modeling is still facing big challenge due to the scarcity of experimental data and device randomness. Here, we proposes a novel data preprocessing method including data generation, data augmentation and statistical preprocessing. With the aid of above techniques, we manage to achieve less than 5% relative errors in the test regression problem just need a few original I-V curves. Comparing with relevant studies, this work just needs a few of original experimental or simulated I-V curves which is achievable under laboratory conditions.","ZhouJie Pan,Yanming Liu,Daixuan Wu,Zihan Zhang,He Tian",12 Nanotechnologies,0
52,52,EDTM25-000079,4.6-bits-per-cell Resistive Probabilistic-bit Computing for High-efficient Evaluation of Bio-Genomic Evolution Achieving 6.25x Acceleration of Data-operations,"The multiple-resistive-probabilistic-bit-per-cell has been firstly proposed to accelerate the computing of bio-genomic evolution, especially on the super virus (SARS-Cov-2) genome. With the assistance of the gradual-SET/RESET operations, the 4.6-bits-per-cell (25-states) 1T1R array has been to demonstrate the effectiveness of this concept. The genomic evolution includes two mechanisms: the genomic mutation and searching. Therefore, a mutation engine of the SARS-Cov-2 has been constructed on this platform and conducts the phylogenetic tree of the virus. Meanwhile, for the genomic searching, “4.6-bits-GenePara Accelerator (4.6GPA)” has been developed to accelerate 6.25x of the data operations. As a result, the probabilistic-bits contain great potential to predict the occurrence of the super virus to prevent the next pandemic. ","Kai-Wen Cheng,易叡 謝",04 Memory Technologies,0
